title,url,id,start,end,text
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,0.0,10.0," You don't need a ukulele to do statistics, but it makes it more fun."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,10.0,13.0," Hello, I'm Josh Starmer and welcome to Stack Quest."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,13.0,19.0," Today we're going to talk about how to build, use and evaluate random forests in R."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,19.0,25.0, This stack quest builds on two stack quests that I've already created that demonstrate the theory behind random forests.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,25.0,28.0," So if you're not familiar with it, check them out."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,28.0,36.0," Just so you know, you can download all the code that I described in this tutorial using the link in the description below."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,36.0,42.0, The first thing we do is load in GGplot 2 so we can draw fancy graphs.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,42.0,47.0," And when I do that, our prints out a little message, it's no big deal."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,48.0,55.0, Then we load CalPlot which just improves some of GGplot 2's default settings.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,55.0,60.0," It overrides the GG save function and that's fine with me, so no worries here."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,60.0,65.0, The last library we need to load is random forest.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,65.0,68.0, So we can make random forests.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,68.0,74.0," It also prints out some stuff in red, but it's no big deal we can move on from here."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,75.0,81.0," For this example, we're going to get a real data set from the UCI machine learning repository."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,81.0,85.0," Specifically, we want the heart disease data set."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,85.0,93.0, So we make a variable called URL and set it to the location of the data we want for our random forest.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,93.0,98.0, And this is how we read the data set into R from the URL.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,98.0,102.0, The head function shows us the first six rows of data.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,103.0,106.0," Unfortunately, none of the columns are labeled."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,106.0,108.0," Wow, wow."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,108.0,113.0, So we name the columns after the names that were listed on the UCI website.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,113.0,118.0, The UCI website actually lists a whole lot of information about this data.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,118.0,121.0, So it's worth checking out if you haven't done that already.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,121.0,122.0, Hey.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,122.0,128.0," Now when we look at the first six rows with the head function, things look a lot better."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,129.0,137.0," However, the stir function, which describes the structure of the data, tells us that some of the columns are messed up."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,137.0,144.0, Sex is supposed to be a factor where zero represents female and one represents male.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,144.0,156.0," CP, aka chest pain, is also supposed to be a factor where levels one through three represent different types of pain and four represents no chest pain."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,157.0,165.0," CA and thaw are correctly called factors, but one of the levels is question mark when we need it to be an NA."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,165.0,169.0, So we've got some cleaning up to do.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,169.0,174.0, The first thing we do is change the question marks to NA's.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,174.0,181.0," Then, just to make the data easier on the eyes, we convert the zeros in sex to F for female."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,182.0,185.0, And the ones to M for male.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,186.0,190.0," Lastly, we convert the column into a factor."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,190.0,196.0, Then we convert a bunch of other columns into factors since that's what they're supposed to be.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,196.0,203.0, See the UCI website or the sample code on the stat quest blog for more details.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,204.0,211.0," Since the CA column originally had a question mark in it, rather than NA, our thinks it's a column of strings."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,211.0,216.0, We correct that assumption by telling our it's a column of integers.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,216.0,219.0, And then we convert it to a factor.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,219.0,223.0, Then we do the exact same thing for thaw.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,223.0,231.0," The last thing we need to do to the data is make HD aka heart disease, a factor that is easy on the eyes."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,232.0,239.0, Here I'm using a fancy trick with if else to convert the zeros to healthy and the ones to unhealthy.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,239.0,247.0," We could have done a similar trick for sex, but I wanted to show you both ways to convert numbers towards."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,247.0,254.0," Once we're done fixing up the data, we can check that we've made the appropriate changes with the stir function."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,254.0,259.0, Sex is now a factor with levels F and M.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,259.0,262.0, And everything else looks good too.
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,262.0,268.0," Hey, we're done with the boring part. Now we can have some fun."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,268.0,277.0," Since we're going to be randomly sampling things, let's set the seed for the random number generator so that we can reproduce our results."
StatQuest: Random Forests in R,https://www.youtube.com/watch?v=6EXPYzbfLCE,6EXPYzbfLCE,277.0,283.0, Now we impute values for the NA's and the data set with RF impute.
