,title,url,id,start,end,duration,text
0,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,0.0,20.0,20.0," Gonna start this stack quest with the silly song. But if you don't like silly songs, that's okay. Stack Quest. Hello, I'm Josh Starmer and welcome to Stack Quest. Today we're going to do a gentle introduction to machine learning."
1,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,21.0,41.0,20.0," Note, this stack quest was originally prepared for and presented at the Society for Scientific Advancements Annual Conference. One of the things that Sosa does is promote science and technology in Jamaica. Let's start with a silly example. Do you like silly songs?"
2,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,42.0,69.0,27.0," If you like silly songs, are you interested in machine learning? If you like silly songs and machine learning, then you'll love Stack Quest. If you like silly songs, but not machine learning, are you interested in statistics? If you like silly songs and statistics, but not machine learning, then you'll still love Stack Quest. Otherwise, you might not like Stack Quest."
3,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,69.0,97.0,28.0," Why not why? If you don't like silly songs, are you interested in machine learning? If you don't like silly songs, but you like machine learning, then you'll love Stack Quest. If you don't like silly songs or machine learning, are you interested in statistics? If you don't like silly songs or machine learning, but you're interested in statistics, then you will love Stack Quest."
4,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,98.0,127.0,29.0," Otherwise, you might not like Stack Quest. Why not why? This is a silly example, but it illustrates a decision tree, a simple machine learning method. The purpose of this particular decision tree is to predict whether or not someone will love Stack Quest. Alternatively, we could say that this decision tree classifies a person as either someone who loves Stack Quest or someone who doesn't."
5,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,128.0,155.0,27.0," Since decision trees are a type of machine learning, then if you understand how we use this tree to predict or classify if someone would love Stack Quest, you're well on your way to understand it. This is a very simple machine learning machine learning. Bam! Here's another silly example of machine learning. Imagine we measured how quickly someone could run 100 meters."
6,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,156.0,172.0,16.0," And how much EM they ate. This is me. I'm not very fast, and I don't eat much EM. And this is Usain Bolt. Usain Bolt is very fast, and he eats a lot of EM."
7,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,173.0,199.0,26.0," Given this pretend data, we see that the more EM someone eats, the faster they run the 100 meter dash. We can fit a black line to the data to show the trend. But we can also use the black line to make predictions. For example, if someone told us they ate this much EM, then we could use the black line to predict how fast that person might run."
8,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,200.0,221.0,21.0," This is the predicted speed. The black line is a type of machine learning because we can use it to make predictions. In general, machine learning is all about making predictions and classifications. Bam! Now that we can make predictions and classifications,"
9,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,221.0,245.0,24.0," let's talk about some of the main ideas in machine learning. First of all, in machine learning Lingo, the original data is called training data. So the black line is fit to training data. Alternatively, we could have fit a green squiggle to the training data. The green squiggle fits the training data better than the black line,"
10,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,245.0,273.0,28.0," but remember, the goal of machine learning is to make predictions. So we need a way to decide if the green squiggle is better or worse than the black line at making predictions. So we find a new person and measure how fast they run and how much EM they eat. And then we find another and another and another. Altogether, the blue dots represent testing data."
11,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,273.0,305.0,32.0," We use the testing data to compare the predictions made by the black line to the predictions made by the green squiggle. Let's start by seeing how well the black line predicts the speed of each person in the testing data. Here's the first person in the testing data. They ate this much EM and they ran this fast. However, the black line predicts that someone who ate this much EM should run a little slower."
12,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,306.0,329.0,23.0, So let's measure the distance between the actual speed and the predicted speed. And save the distance on the right while we focus on the other people in the testing data. Here's the second person in the testing data. They ate this much EM and they ran this fast. But the black line predicts that they will run a little faster.
13,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,330.0,364.0,34.0, So we measure the distance between the actual speed and the predicted speed and add it to the one we measured for the first person in the testing data. Then we measure the distance between the real and the predicted speed for the third person in the testing data. And add it to our running total of distances between the real and predicted speeds for the black line. Then we do the same thing for the fourth person in the testing data. And add that distance to our running total for the black line.
14,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,365.0,402.0,37.0," This is the sum of all the distances between the real and predicted speeds for the black line. Now let's calculate the distances between the real and predicted speeds using the green squiggle. Remember, the green squiggle did a great job fitting the training data. But when we are doing machine learning, we are more interested in how well the green squiggle can make predictions with new data. So just like before, we determine this person's real speed and their predicted speed and measure the distance between them."
15,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,403.0,434.0,31.0," And just like we did for the black line, we'll keep track of the distances for the green squiggle over here. Then we do the same thing for the second person in the testing data. And the third person and the fourth person. This is the sum of the distances between the real and predicted speeds for the green squiggle. The sum of the distances is larger for the green squiggle than the black line."
16,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,434.0,469.0,35.0," In other words, even though the green squiggle fit the training data way better than the black line, the black line did a better job predicting speeds with the testing data. So if we had to choose between using the black line or the green squiggle to make predictions, we would choose the black line. Bam! This example teaches two main ideas about machine learning. First, we use testing data to evaluate machine learning methods."
17,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,470.0,508.0,38.0," Second, don't be fooled by how well a machine learning method fits the training data. Note, fitting the training data well that making poor predictions is called the bias variance tradeoff. Oh no, a shameless self-promotion. If you want to learn more about the bias variance tradeoff, there's a stat quest that will walk you through it one step at a time. Before we move on, you may be wondering why we used a simple black line in a silly green squiggle instead of a deep learning compositional neural network work."
18,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,508.0,540.0,32.0," Or, insert or twist with fastest, most fancy machine learning method here. There are tons of fancy sounding machine learning methods, and each year something new and exciting comes on the scene. But regardless of what you use, the most important thing isn't how fancy it is, but how it performs with testing data. Double-bowl. Now let's go back to the decision tree that we started with."
19,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,541.0,564.0,23.0," Remember, we wanted to classify if someone loves stat quest based on a few questions. To create the decision tree, we collected data from people who love stat quest. And from people who did not love stat quest. All together, this was the training data. And we used it to build the decision tree."
20,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,565.0,589.0,24.0," Then we got data from a few more people who love stat quest. And a few more people who did not love stat quest. All together, this forms the testing data. We can use the testing data to see how well our decision tree predicts if someone will love stat quest. The first person in the testing data did not like silly songs."
21,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,590.0,609.0,19.0, So we go to the right side of the decision tree. They didn't like machine learning either. So we just keep on going down the right side of the decision tree. They didn't like statistics either. So the decision tree predicts that this person will not love stat quest.
22,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,609.0,636.0,27.0," However, this person loves stat quest so the decision tree made a mistake. The second person in the testing data liked silly songs. And that takes us down the left side of the decision tree. They were also interested in machine learning. So we predict that that person loves stat quest."
23,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,637.0,668.0,31.0," And since this person actually loves stat quest, the decision tree did a good job. Hey! Now we just run all of the other people in the testing data down the decision tree and compare the predictions to reality. Then we can compare this decision tree to the latest greatest machine learning method. Ultimately, we pick the method that does the best job predicting if someone will love stat quest or not."
24,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,669.0,695.0,26.0," Triple BAM In summary, machine learning is all about making predictions and classifications. There are tons of fancy machine learning methods, but the most important thing to know about them isn't what makes them so fancy. It's that we decide which method fits our needs the best by using testing data. One last thing before we go."
25,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,696.0,729.0,33.0," You may be wondering how we decide which data go into the training set and which data go into the testing set. Earlier, we just arbitrarily decided that these red dots were the training data. But the blue dots could have, just as easily, been the training data. The good news is that there are ways to determine which samples should be used for training data and which samples should be used for testing data. And if you're interested in learning more about this, check out the stat quest."
26,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,730.0,761.0,31.0," And there are lots more stat quests that walk you through machine learning concepts step by step, so check them out. Hey, we've made it to the end of another exciting stat quest. If you like this stat quest and want to see more, please subscribe. And if you want to support stat quest, well, consider buying one or two of my original songs, or getting a t-shirt or a hoodie or some other slick merchandise. There's links on the screen and there's links in the description below."
27,A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,Gv9_4yMHFhI,762.0,764.0,2.0," Alright, until next time, quest on."
28,Machine Learning Fundamentals: Cross Validation,https://www.youtube.com/watch?v=fSytzGwwBVw,fSytzGwwBVw,0.0,25.0,25.0," SetQuest, check it out, talking about machine learning. SetQuest, check it out, talking about cross validation. SetQuest. Hello, I'm Josh Starmer and welcome to SetQuest. Today we're going to talk about cross validation and it's going to be clearly explained."
29,Machine Learning Fundamentals: Cross Validation,https://www.youtube.com/watch?v=fSytzGwwBVw,fSytzGwwBVw,25.0,54.0,29.0," Okay, let's start with some data. We want to use the variables, chest pain, good blood circulation, etc. To predict if someone has heart disease, then when a new patient shows up, we can measure these variables and predict if they have heart disease or not. However, first we have to decide which machine learning method would be best."
30,Machine Learning Fundamentals: Cross Validation,https://www.youtube.com/watch?v=fSytzGwwBVw,fSytzGwwBVw,54.0,79.0,25.0, We could use logistic regression or k-nearist neighbors or support vector machines and many more machine learning methods. How do we decide which one to use? Cross validation allows us to compare different machine learning methods and get a sense of how well they will work in practice.
31,Machine Learning Fundamentals: Cross Validation,https://www.youtube.com/watch?v=fSytzGwwBVw,fSytzGwwBVw,79.0,111.0,32.0," Imagine that this blue column represented all of the data that we have collected about people with and without heart disease. We need to do two things with this data. One, we need to estimate the parameters for the machine learning methods. In other words, to use logistic regression, we have to use some of the data to estimate the shape of this curve. In machine learning lingo, estimating parameters is called training the algorithm."
