title,start,end,text,duration
"StatQuest: Random Forests Part 1 - Building, Using and Evaluating",0.0,23.04," Wandering around, around them, forest, I won't get lost because of stat quest. Hello, I'm Josh Starmer and welcome to stat quest. Today we're going to be starting part one of a series on random forests, and we're going to talk about building and evaluating random forests.",23.04
"StatQuest: Random Forests Part 1 - Building, Using and Evaluating",23.04,41.72," Note, random forests are built from decision trees, so if you don't already know about those, check out my stat quest and be-fuck. Decision trees are easy to build, easy to use, and easy to interpret. But in practice, they are not that awesome.",18.68
"StatQuest: Random Forests Part 1 - Building, Using and Evaluating",41.72,61.36," To quote from the elements of statistical learning, aka the Bible of Machine Learning, trees have one aspect that prevents them from being the ideal tool for predictive learning, namely in accuracy. In other words, they work great with the data used to create them, but they are not flexible",19.64
"StatQuest: Random Forests Part 1 - Building, Using and Evaluating",61.36,77.72, when it comes to classifying new samples. The good news is that random forests combine the simplicity of decision trees with flexibility resulting in a vast improvement in accuracy. So let's make a random forest.,16.36
"StatQuest: Random Forests Part 1 - Building, Using and Evaluating",77.72,91.76," Step one, create a bootstrap dataset. Imagine that these four samples are the entire dataset that we are going to build a tree from. I know it's crazy small, but just pretend for now.",14.040000000000006
"StatQuest: Random Forests Part 1 - Building, Using and Evaluating",91.76,109.76," To create a bootstrap dataset that is the same size as the original, we just randomly select samples from the original dataset. The important detail is that we're allowed to pick the same sample more than once. This is the first sample that we randomly select.",18.0
"StatQuest: Random Forests Part 1 - Building, Using and Evaluating",109.76,126.4, So it's the first sample in our bootstrap dataset. This is the second randomly selected sample from the original dataset. So it's the second sample in our bootstrap dataset. Here's the third randomly selected sample.,16.64
"StatQuest: Random Forests Part 1 - Building, Using and Evaluating",126.4,138.84," So here it is in the bootstrap dataset. Lastly, here's the fourth randomly selected sample. Note, it's the same as the third. And here it is.",12.439999999999998
"StatQuest: Random Forests Part 1 - Building, Using and Evaluating",138.84,162.36," Bam, we've created a bootstrap dataset. Step two for creating a random forest is to create a decision tree using the bootstrap dataset, but only use a random subset of variables or columns at each step. In this example, we will only consider two variables or columns at each step.",23.52000000000001
"StatQuest: Random Forests Part 1 - Building, Using and Evaluating",162.4,188.12," Note, we'll talk more about how to determine the optimal number of variables to consider later. Thus, instead of considering all four variables to figure out how to split the root node, we randomly select two. In this case, we randomly selected good blood circulation and blocked arteries as candidates for the root node.",25.72
"StatQuest: Random Forests Part 1 - Building, Using and Evaluating",188.2,216.84," Just for the sake of the example, assume that good blood circulation did the best job separating the samples. Since we used good blood circulation, I'm going to gray it out so that we focus on the remaining variables. Now we need to figure out how to split samples at this node. Just like for the root, we randomly select two variables as candidates instead of all three remaining columns.",28.640000000000015
